id,anchor,target,context,score
7823efa2b2e9b23d,sand formation,circuit breaker,E21,0
0bc8f97b1b39335b,sand formation,continuous sampling drill bit,E21,0.25
152596601b86a09c,sand formation,downhole tool,E21,0.25
2584d05f63b2a4c1,sand formation,drilling zones,E21,0.25
8d2b22a378f4dbf8,sand formation,formation,E21,0.5
f6bd3e28162430e6,sand formation,formation of blood clots,E21,0
9bdedaf931515cff,sand formation,formation rocks,E21,0.5
3c7223e9f5c02439,sand formation,limestone formations,E21,0.75
8affc7257e0292bf,sand formation,mining area,E21,0.25
64fe17d8b6da770d,sand formation,porous rock formation,E21,0.5
02c23a4a12511b35,sand formation,reservoir,E21,0.25
ed11d9c71c7369d9,sand formation,rocks break,E21,0.25
c343c6213fe93cb5,sand formation,sand,E21,0.5
c51022b89bce408c,sand formation,sand development,E21,0.75
74dfbd0f7be210a0,sand formation,sand formation,E21,1
3e5932aaae1b788b,sand formation,sand growth,E21,0.75
29a006838022ed1c,sand formation,sand layer,E21,0.5
a2753c7e56f2e249,sand formation,sand system,E21,0.5
6b68b77ca328cd3a,sand formation,sandfly fever,E21,0
0c9c27502626e563,sand formation,sands formation,E21,1
263e3ab6f503c9de,sand formation,sleeve valve,E21,0.25
fa5af47563c4699a,sand formation,soil breaker,E21,0.5
e755745472ab9aaf,sand formation,subterranean formation,E21,0.5
67a84775117e1298,sand formation,subterranean sand formation,E21,0.5
e2fe43b9b143e066,sand formation,surrounding formation,E21,0.5
5b2914c5f92dabcb,sand formation,underground formation,E21,0.5
415e91438ac5282b,saturated felt,asphalt,D06,0.5
62813166c84e3678,saturated felt,asphalt saturated felt,D06,0.5
153b21c1b3a29aab,saturated felt,bitumen,D06,0.25
81e191af396ee1c3,saturated felt,bituminous saturated felt,D06,0.5
2b3b37ae9bcc4c7c,saturated felt,cloth,D06,0.25
50a85cbc7a51c3b9,saturated felt,dry felt,D06,0.5
b1b6cc16d9706b20,saturated felt,fabric,D06,0.25
17ea084e2c3c306f,saturated felt,felt,D06,0.5
0f951fea4536df30,saturated felt,felt cloth,D06,0.5
e63917808e04de82,saturated felt,felt composite,D06,0.5
78dbe3614e9284f6,saturated felt,felt pen,D06,0
51c5c8ed5276efaf,saturated felt,felt roof,D06,0
f69619105d69f6da,saturated felt,felt substrate,D06,0.5
b28d782d55e0ea76,saturated felt,felts,D06,0.5
185351c59da3d4f7,saturated felt,laminate,D06,0.25
0f6c0cd6a999e6ff,saturated felt,paper,D06,0.25
9b259231b63e8775,saturated felt,saturate felt,D06,1
a7b5a7368f228942,saturated felt,saturated fabric,D06,0.75
c26f39fd2f35e7d9,saturated felt,saturated fat,D06,0
11b766e0ccca93e5,saturated felt,saturated market,D06,0
6286c15092a70ebb,saturated felt,saturated soil,D06,0
9fed5c32cabb4410,saturated felt,supersaturated solution,D06,0
9ccaf12f00a499eb,saturated felt,treatment,D06,0.25
